ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	source
GO:0051338	regulation of transferase activity	37/991	281/18842	0.131672597864769	2.50350664880724	5.98294974059373	2.56706721946354e-07	1.08592483816155e-05	1.08592483816155e-05	FBXO5/CDC20/CDKN3/EMP2/KIF14/TFAP4/CCNE2/CDC6/USP44/RFC5/FIRRM/ERRFI1/CHTF18/KSR1/DSCC1/RFC2/BLM/RASGRP1/GPRC5A/EREG/PDGFB/MAD2L1/CDC25C/RASSF2/TPD52L1/PKMYT1/RBL1/SESN2/TPX2/FLT1/UBE2C/RFC3/CDKN1A/ARRDC3/PRKAR2B/CEMIP/NRG1	37	GO:BP
GO:0034080	CENP-A containing chromatin assembly	7/991	11/18842	0.636363636363636	12.0992569489038	8.67583099541628	2.98680903709701e-07	1.25445979558075e-05	1.25445979558075e-05	CENPW/ITGB3BP/CENPI/HJURP/CENPP/CENPA/OIP5	7	GO:BP
GO:0051785	positive regulation of nuclear division	14/991	52/18842	0.269230769230769	5.11891640145929	7.00775300491859	3.06728643759865e-07	1.2791237058922e-05	1.2791237058922e-05	CDC20/DLGAP5/SKA1/EREG/PDGFB/EDN1/RAD51AP1/PLK1/SKA3/AURKA/ESPL1/NUSAP1/UBE2C/EGF	14	GO:BP
GO:0000281	mitotic cytokinesis	20/991	104/18842	0.192307692307692	3.65636885818521	6.40030926206453	4.11529395414742e-07	1.7040794683371e-05	1.7040794683371e-05	ANLN/KIF20B/KIF20A/KIF23/KIF4B/INCENP/KIF4A/AURKB/RACGAP1/CDCA8/RAB11A/PLK1/ESPL1/NUSAP1/CENPA/CIT/CEP55/TRIM36/BIRC5/IQGAP3	20	GO:BP
GO:0031297	replication fork processing	15/991	61/18842	0.245901639344262	4.67535690063026	6.77427162589682	4.24004656459793e-07	1.74345970628223e-05	1.74345970628223e-05	BRCA1/FAM111B/PCNA/TRAIP/TIPIN/BRCA2/BLM/EME1/TIMELESS/RAD51/TONSL/PARP1/XRCC3/POLQ/EXO1	15	GO:BP
GO:0042770	signal transduction in response to DNA damage	28/991	185/18842	0.151351351351351	2.87766111217171	6.04699622178895	4.37139288484739e-07	1.78498542797935e-05	1.78498542797935e-05	E2F7/BRCA1/GTSE1/DTL/TFAP4/SNAI1/BRSK1/FOXM1/SOX4/TIPIN/BRCA2/BLM/E2F1/EME1/STK33/TIMELESS/RAD51/PLK1/CDK1/FANCD2/TICRR/SESN2/H2AX/CLSPN/CDKN1A/MAPK14/CDC7/WDR76	28	GO:BP
GO:0055006	cardiac cell development	17/991	78/18842	0.217948717948718	4.14388470594323	6.55554385775562	4.72779421072405e-07	1.91720206614189e-05	1.91720206614189e-05	MYLK3/BMP4/INHBA/NEB/CXADR/TGFBR3/TTN/PDLIM5/CCNB1/RGS2/EDN1/CDK1/VEGFA/MYH11/ASB2/ACTC1/RGS4	17	GO:BP
GO:0055002	striated muscle cell development	23/991	134/18842	0.171641791044776	3.26344563760411	6.19535666815077	4.86746946181947e-07	1.9603233174999e-05	1.9603233174999e-05	MYLK3/BMP4/MYORG/MYPN/NEB/CXADR/PGM5/KRT19/TMOD1/TTN/PDLIM5/CCNB1/RGS2/EDN1/CDK1/COL6A1/VEGFA/MYH11/ASB2/ACTC1/TPM1/RGS4/CSRP1	23	GO:BP
GO:0036297	interstrand cross-link repair	12/991	41/18842	0.292682926829268	5.56481504270139	6.89417282393771	8.02353475814286e-07	3.20941390325714e-05	3.20941390325714e-05	NEIL3/FANCG/HROB/FIRRM/RAD51/RAD51AP1/FANCD2/FANCC/FANCI/XRCC3/MCM8/FANCA	12	GO:BP
GO:0000077	DNA damage checkpoint signaling	20/991	109/18842	0.18348623853211	3.48864551606662	6.13945964867548	9.02249518118068e-07	3.58461295036097e-05	3.58461295036097e-05	BRCA1/DTL/BRSK1/TIPIN/BRCA2/BLM/E2F1/EME1/STK33/TIMELESS/RAD51/PLK1/CDK1/FANCD2/TICRR/H2AX/CLSPN/CDKN1A/CDC7/WDR76	20	GO:BP
GO:0051988	regulation of attachment of spindle microtubules to kinetochore	9/991	23/18842	0.391304347826087	7.43991576361164	7.28120670903873	1.24312074156253e-06	4.90573822844812e-05	4.90573822844813e-05	INCENP/AURKB/RACGAP1/CDCA8/CCNB1/NEK2/CDK1/BIRC5/SPAG5	9	GO:BP
