gene	degree	betweenness
WNT2B	0	0
OSER1-DT	0	0
HROB	0	0
RRM1	0	0
KIF4B	0	0
PLEKHG1	0	0
MEX3A	0	0
TICRR	0	0
TTLL3	0	0
TCF19	0	0
AGBL3	0	0
ULBP1	0	0
SNCAIP	0	0
CENPI	0	0
FAM72B	0	0
FZD3	0	0
PCDHGA1	0	0
KCTD14	0	0
NTRK3	0	0
TSPAN5-DT	0	0
MYO5C	0	0
ST6GALNAC3	0	0
CIT	0	0
ADAMTS19	0	0
RNF133	0	0
HCAR1	0	0
TXNDC12	0	0
KIF20A	0	0
HOXA2	0	0
HOXA1	0	0
FAM9C	0	0
KLHL28	0	0
H4C11	0	0
KIF22	0	0
CCNA2	0	0
KIF23	0	0
NUSAP1	0	0
ITGA11	0	0
MBNL3	0	0
NRGN	0	0
H2BC26	0	0
LOC101928446	0	0
ATAD2	0	0
BUB1	0	0
ZNF44	0	0
CCR10	0	0
IFI27	0	0
PTGES3L	0	0
TBC1D24	0	0
CCNF	0	0
DDIAS	0	0
GPRIN3	0	0
RACGAP1	0	0
NEURL1B	0	0
ADAMTS14	0	0
H2AC4	0	0
MFAP2	0	0
AURKA	0	0
FOXM1	0	0
ITGA1	0	0
RNF217	0	0
RSPO3	0	0
C14orf132	0	0
KRTAP2-3	0	0
ZSWIM4	0	0
LOC128966597	0	0
FAM120C	0	0
CBLB	0	0
CIP2A	0	0
ENAH	0	0
PRPS1	0	0
SHCBP1	0	0
NPTX1	0	0
MDFIC	0	0
H4C2	0	0
TPD52L1	0	0
H2AC11	0	0
LSM11	0	0
NYAP1	0	0
CD200	0	0
ARHGAP23P1	0	0
NR2C2AP	0	0
FMNL2	0	0
SLC46A3	0	0
ETV1	0	0
SMC2	0	0
NOB1	0	0
CORIN	0	0
NOX4	0	0
MYORG	0	0
PRR11	0	0
MAZ	0	0
USP44	0	0
ASB13	0	0
CCDC144CP	0	0
HMGB2	0	0
MAD2L1	0	0
ITPK1	0	0
PCSK9	0	0
SPC24	0	0
ADAMTS7	0	0
TFPI	0	0
LINC01592	0	0
MRPS2	0	0
CHRNA9	0	0
PSIP1	0	0
SPSB1	0	0
RFC2	0	0
CHAF1B	0	0
NRG1	0	0
RPL7L1P9	0	0
SLC2A9	0	0
TRIP13	0	0
AFTPH	0	0
MKI67	0	0
CSMD1	0	0
OR5P1P	0	0
CDCA2	0	0
C1orf116	0	0
TTN	0	0
DISP1	0	0
DACT1	0	0
MT2A	0	0
ENTPD7	0	0
ATP23	0	0
TRPC6	0	0
RHPN2	0	0
HOXA13	0	0
ATP7B	0	0
NEB	0	0
CCDC81	0	0
MGAT4C	0	0
INHBA	0	0
ANOS1	0	0
PTTG1	0	0
GPRASP1	0	0
CCDC102B	0	0
ACKR3	0	0
FOXN2	0	0
VWF	0	0
NEMP2	0	0
HSPB3	0	0
PPM1H	0	0
CDC25B	0	0
CEMIP	0	0
FAM43A	0	0
NOC2LP1	0	0
ADAMTS7P3	0	0
XKR5	0	0
AP1S1	0	0
LMNB2	0	0
OLFM1	0	0
ADAM19	0	0
MYPN	0	0
CRKL	0	0
P2RX7	0	0
MIR181A2HG	0	0
LOC105374971	0	0
HMGN3	0	0
BANK1	0	0
LUZP2	0	0
EME1	0	0
CD274	0	0
SHKBP1	0	0
PEAR1	0	0
LDLRAD3	0	0
RAC1	0	0
SYT1	0	0
ABCA13	0	0
CHTF18	0	0
E2F7	0	0
OTOGL	0	0
CYB561D1	0	0
HOPX	0	0
PREX2	0	0
DDO	0	0
H1-5	0	0
SGO1	0	0
AGFG1	0	0
HELLS	0	0
PAG1	0	0
CCL5	0	0
BUB1B	0	0
COX20	0	0
PLCXD3	0	0
F3	0	0
KIF18A	0	0
CCDC34	0	0
C9	0	0
KATNB1	0	0
TACSTD2	0	0
TIMELESS	0	0
CRACD	0	0
TRIM36	0	0
F11R	0	0
GPSM2	0	0
AMIGO3	0	0
SPINT2	0	0
KCNJ2	0	0
RTN4R	0	0
POLE	0	0
CDC25C	0	0
CDCA7	0	0
H2BC12L	0	0
RFC5	0	0
MNS1	0	0
BHLHE41	0	0
EDIL3	0	0
NCAPD2	0	0
CPA4	0	0
RASGRP1	0	0
PDE3A	0	0
CD24	0	0
ADGRL2	0	0
SOX6	0	0
SH2B3	0	0
STK32B	0	0
TMTC4	0	0
ACTA2	0	0
CKS2	0	0
FOXS1	0	0
GARIN1B	0	0
H3C8	0	0
KCNH1	0	0
SH3RF2	0	0
WDR62	0	0
HAUS8	0	0
LRP1B	0	0
KIAA2012	0	0
LMCD1	0	0
FANCA	0	0
SRF	0	0
ASNS	0	0
TICAM2	0	0
CUBN	0	0
LIPH	0	0
MTMR10	0	0
MINDY2	0	0
TRIM52-AS1	0	0
KDM7A	0	0
TRBV12-4	0	0
PCOTH	0	0
MAP6	0	0
DCLK1	0	0
H3C11	0	0
RTEL1-TNFRSF6B	0	0
CELF6	0	0
FLI1	0	0
CCBE1	0	0
CCN2	0	0
CIAO2A	0	0
JPT2	0	0
SYS1-DBNDD2	0	0
TK1	0	0
DCAF4L1	0	0
H2AC14	0	0
ASPM	0	0
BFSP1	0	0
IFI44L	0	0
FBXL22	0	0
TONSL	0	0
ZNF93	0	0
CAPNS2	0	0
FMO3	0	0
SYT15B	0	0
IKZF2	0	0
ZNF596	0	0
LDB3	0	0
NEK2	0	0
OAS1	0	0
SLC7A5	0	0
LOC102724428	0	0
LINC01191	0	0
H2AZ2	0	0
ZFPM2	0	0
COCH-AS1	0	0
H3C15	0	0
OVCH2	0	0
AUNIP	0	0
REXO5	0	0
SLC16A5	0	0
DMD	0	0
MFAP3L	0	0
CHD7	0	0
PRR5L	0	0
CORO6	0	0
ORC1	0	0
GFAP	0	0
ANXA8	0	0
MTARC1	0	0
BLM	0	0
RN7SL535P	0	0
LINC00857	0	0
H1-3	0	0
DUSP2	0	0
PLAU	0	0
RNF138	0	0
BIRC5	0	0
KIFC1	0	0
SUV39H1	0	0
RNF14P4	0	0
PDE4D	0	0
RN7SL608P	0	0
CDS1	0	0
C5	0	0
LOC105376292	0	0
RASEF	0	0
LONRF1	0	0
GPER1	0	0
GOLGA8G	0	0
NEXN-AS1	0	0
CCDC152	0	0
TLR1	0	0
C1QTNF2	0	0
PLEKHA6	0	0
NFKBIZ	0	0
EML6	0	0
TRPC3	0	0
ZNF138	0	0
MYLK3	0	0
SLC25A10	0	0
FJX1	0	0
LRP2	0	0
TSPAN2	0	0
HMMR	0	0
TGFBR3	0	0
LRIG3	0	0
SYNE1	0	0
IL19	0	0
