# Gyne-DEG Atlas Machine Learning Gene Panel (RandomForest)
# CV Type: LeaveOneDatasetOut
# Mean AUROC: 0.6205
# Fold Details: GSE102293=0.8750, GSE106724=0.5000, GSE114419=0.5000, GSE137684=0.3125, GSE199225=0.5750, GSE207000=0.9444, GSE262302=0.5000, GSE286315=0.4444, GSE316028=1.0000, GSE34526=0.1667, GSE40007=0.5000, GSE44207=0.5000, GSE47360=0.6944, GSE51981=0.6889, GSE56854=0.5000, GSE6364=0.3824, GSE6798=0.8462, GSE75425=0.8750, GSE8157=0.9846
# Total samples: 397 (Cases: 206, Controls: 191)
# Total features: 1247
gene	coefficient	mean_abs_shap
ITGB1BP2	0.0012761405679405267	0.0012761405679405267
LINC01614	0.0012751305557185235	0.0012751305557185235
SRF	0.0012747469555875436	0.0012747469555875436
KIF22	0.001274706565057869	0.001274706565057869
CDC25C	0.0012744294675463483	0.0012744294675463483
ENTPD7	0.0012703650720394194	0.0012703650720394194
TBL1X	0.001270253977688775	0.001270253977688775
UBE2C	0.0012678832293253472	0.0012678832293253472
ARHGEF39	0.0012674822353975668	0.0012674822353975668
ASPM	0.0012646363595797605	0.0012646363595797605
NKX2-6	0.0012634050627899482	0.0012634050627899482
LINC01204	0.0012603944816610602	0.0012603944816610602
CNKSR2	0.001258744510038254	0.001258744510038254
YRDC	0.0012587041760351056	0.0012587041760351056
AURKB	0.0012583010061763954	0.0012583010061763954
IQGAP3	0.0012574280977891005	0.0012574280977891005
ERP27	0.0012571513731776673	0.0012571513731776673
SLC46A3	0.001253380530497634	0.001253380530497634
CDH6	0.0012531679507661263	0.0012531679507661263
EGF	0.0012528428257709548	0.0012528428257709548
KIF4A	0.0012527866059483036	0.0012527866059483036
UBE2T	0.0012523709572586073	0.0012523709572586073
E2F8	0.0012468472342867963	0.0012468472342867963
SOX4	0.0012462585001962638	0.0012462585001962638
PDE3A	0.0012458988145074871	0.0012458988145074871
LMNB2	0.0012455772410568248	0.0012455772410568248
RGCC	0.0012447412336787326	0.0012447412336787326
ARHGAP28	0.0012424965723995983	0.0012424965723995983
CHRDL1	0.0012421199433751058	0.0012421199433751058
CASK	0.0012302775285701988	0.0012302775285701988
EFHD2	0.0012300990962336039	0.0012300990962336039
NDC80	0.001227456751752499	0.001227456751752499
ACTG2	0.0012271612164551679	0.0012271612164551679
PLN	0.0012251472069283503	0.0012251472069283503
ENDOG	0.0012249156604976518	0.0012249156604976518
