gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
CASZ1	0.461850099108377	0.501122900490088	0.679982864888903	3	UP
TARDBP	-10.6525124756849	0.418050820401759	0.679982864888903	3	DOWN
MASP2	6.73672416663605	0.385259323537822	0.679982864888903	3	UP
SRM	12.9654187552709	0.271567273267011	0.679982864888903	3	UP
EXOSC10	1.46621805013365	0.533586952681876	0.682664717790524	3	UP
MTOR	-9.44890029960016	0.326820681519553	0.679982864888903	3	DOWN
ANGPTL7	1.41667149859337	0.406169058075301	0.679982864888903	3	UP
UBIAD1	6.83826093119917	0.345417648693123	0.679982864888903	3	UP
FBXO2	2.15394742303072	0.301308386178182	0.679982864888903	3	UP
FBXO44	2.0469339394326	0.157166083446984	0.679982864888903	3	UP
FBXO6	9.67360373058194	0.565401819231928	0.690968691006738	3	UP
MAD2L2	21.1579389865314	0.164909837317904	0.679982864888903	3	UP
DRAXIN	8.47700079187412	0.435777471310265	0.679982864888903	3	UP
AGTRAP	11.7178655374031	0.264143848684245	0.679982864888903	3	UP
MTHFR	9.56166426230863	0.167988551914922	0.679982864888903	3	UP
CLCN6	11.4341598801293	0.0547272266884624	0.679982864888903	3	UP
RNU5E-4P	0.0462892598880992	0.87482710866489	0.888114655564424	1	UP
KIAA2013	18.4127123687255	0.182385654753585	0.679982864888903	3	UP
PLOD1	3.41490842445269	0.69869032372793	0.755343282955837	3	UP
MFN2	-44.6982579942572	0.162012181705758	0.679982864888903	3	DOWN
MIIP	29.079694853192	0.0215060965104455	0.563597762555629	3	UP
TNFRSF1B	7.09084497001109	0.46536067195713	0.679982864888903	3	UP
VPS13D	2.33084409310195	0.460339467745145	0.679982864888903	3	UP
DHRS3	-25.9361049157963	0.184517065769154	0.679982864888903	3	DOWN
PDPN	4.36626849110367	0.416460404536801	0.679982864888903	3	UP
PRDM2	-2.6513568508269	0.452274374516696	0.679982864888903	3	DOWN
KAZN	6.68333230255363	0.182236595021261	0.679982864888903	3	UP
TMEM51	-1.05727963898197	0.347937319842627	0.679982864888903	3	DOWN
FHAD1	10.3527852227982	0.033617743703215	0.629960225106571	3	UP
EFHD2	2.31581644058196	0.195074741777375	0.679982864888903	3	UP
CELA2B	0.92744746690096	0.308142161238754	0.679982864888903	3	UP
CASP9	2.28642662263031	0.542918552150645	0.68346896122942	3	UP
DNAJC16	1.57024910423227	0.655468256540431	0.729250810516689	3	UP
AGMAT	2.85886828350689	0.329664257499679	0.679982864888903	3	UP
DDI2	-9.56698635795852	0.343725734082642	0.679982864888903	3	DOWN
PLEKHM2	-9.14711033029165	0.558973433180924	0.68852817095795	3	DOWN
SLC25A34	-35.0338866626063	0.358004333399643	0.679982864888903	3	DOWN
FBLIM1	5.20700031038015	0.135918333876083	0.679982864888903	3	UP
UQCRHL	-0.188461213432637	0.153317325869109	0.679982864888903	1	DOWN
SPEN-AS1	0.541504015810207	0.000107421675136538	0.0335352129490273	1	UP
SPEN	-3.86149544012653	0.421041129876957	0.679982864888903	3	DOWN
ZBTB17	7.92427995525715	0.397228416571923	0.679982864888903	3	UP
HSPB7	81.425223484413	0.184095369940826	0.679982864888903	3	UP
EPHA2	6.35926211536428	0.280072583443013	0.679982864888903	3	UP
ARHGEF19	-9.12577392333594	0.143098881765472	0.679982864888903	3	DOWN
CPLANE2	-0.0543912867149883	0.707037387241246	0.7604214762533	1	DOWN
FBXO42	5.02508726456338	0.339618569657535	0.679982864888903	3	UP
SZRD1	26.3209082469956	0.30114660428623	0.679982864888903	3	UP
NECAP2	7.1057375542849	0.14636234999015	0.679982864888903	3	UP
LINC01772	0.0224764341858182	0.887682550126891	0.899061744834749	1	UP
CROCCP3	9.3346534840532	0.167982202902327	0.679982864888903	3	UP
NBPF1	41.4153991972478	0.069201799133295	0.679982864888903	3	UP
CROCC	2.31173822009131	0.44630240242083	0.679982864888903	3	UP
LOC105376805	0.0821752869830845	0.744663158639557	0.785892180863052	1	UP
RNU1-2	0.372998348533883	0.0622238137767931	0.679982864888903	1	UP
MFAP2	11.7691244654906	0.0396014550529933	0.663129773414782	3	UP
ATP13A2	2.97352068126638	0.443240062138368	0.679982864888903	3	UP
SDHB	-17.279439202434	0.47963629756936	0.679982864888903	3	DOWN
PADI2	10.4952276121384	0.323805674159454	0.679982864888903	3	UP
LINC02783	0.551740914073963	0.0541475686498515	0.679982864888903	1	UP
PADI1	-0.102357744490732	0.79511780692061	0.823124423299931	3	DOWN
RCC2	3.8193673454476	0.391271193154202	0.679982864888903	3	UP
ARHGEF10L	16.1422235255201	0.159649857910417	0.679982864888903	3	UP
PAX7	8.25734021326265	0.21555977030885	0.679982864888903	3	UP
ALDH4A1	10.9874527639503	0.468050034489383	0.679982864888903	3	UP
IFFO2	0.0839355063176885	0.623509988148126	0.712169575697122	3	UP
UBR4	13.1558852144403	0.439707017537614	0.679982864888903	3	UP
EMC1-AS1	0.128533437322508	0.479337157263396	0.679982864888903	1	UP
EMC1	10.4700583855206	0.372772062391895	0.679982864888903	3	UP
MRTO4	11.0778917744797	0.16519217497442	0.679982864888903	3	UP
AKR7A3	14.2624817580574	0.237101978011411	0.679982864888903	3	UP
AKR7A2	6.74760752814713	0.276352430967666	0.679982864888903	3	UP
SLC66A1	0.0418581649500272	0.663829174170433	0.734011689457902	1	UP
CAPZB	38.7482172224266	0.290510639715294	0.679982864888903	3	UP
MICOS10	-0.0769929337913799	0.404823760297058	0.679982864888903	1	DOWN
NBL1	-8.30770736246744	0.211085686203236	0.679982864888903	3	DOWN
TMCO4	9.66183347902465	0.21127465564498	0.679982864888903	3	UP
OTUD3	-5.02088251995712	0.244521996354957	0.679982864888903	3	DOWN
PLA2G2A	4.96187701697406	0.38565254819462	0.679982864888903	3	UP
CAMK2N1	5.28435989068691	0.377197840370441	0.679982864888903	3	UP
MUL1	-4.6765351752531	0.199733007060854	0.679982864888903	3	DOWN
FAM43B	7.51978718810592	0.152079181707765	0.679982864888903	3	UP
CDA	-0.202112877375897	0.147567523392625	0.679982864888903	3	DOWN
PINK1	-17.9796229098538	0.447196637858128	0.679982864888903	3	DOWN
PINK1-AS	4.50749427243559	0.188512024243395	0.679982864888903	3	UP
DDOST	20.9253240428782	0.298504992636981	0.679982864888903	3	UP
KIF17	-2.20398056731755	0.277105443100248	0.679982864888903	3	DOWN
SH2D5	4.12438598924483	0.319207967521639	0.679982864888903	3	UP
HP1BP3	4.58929155257188	0.500154825464514	0.679982864888903	3	UP
EIF4G3	19.4581366155875	0.0094806758124379	0.439046558160577	3	UP
ECE1	20.8803680951714	0.218468425501975	0.679982864888903	3	UP
NBPF3	16.5651774217107	0.108093898040001	0.679982864888903	3	UP
ALPL	13.3665978594435	0.299375611940947	0.679982864888903	3	UP
RAP1GAP	-1.33232786775613	0.498268236503146	0.679982864888903	3	DOWN
USP48	-3.19383603641036	0.347699746360162	0.679982864888903	3	DOWN
LDLRAD2	0.429257125254468	0.0490783687797451	0.679982864888903	1	UP
HSPG2	4.5236811680948	0.35385587288931	0.679982864888903	3	UP
LINC00339	20.0073197963361	0.250383127567539	0.679982864888903	3	UP
CDC42	-13.1434400290544	0.247316427657242	0.679982864888903	3	DOWN
WNT4	1.43108389489932	0.256730806079311	0.679982864888903	3	UP
ZBTB40	3.91118990040605	0.189171851834247	0.679982864888903	3	UP
EPHB2	-3.8231477926989	0.457844679644337	0.679982864888903	3	DOWN
KDM1A	1.25330245755551	0.62826979414367	0.71496236764987	3	UP
LUZP1	-0.635889954020766	0.485599854965346	0.679982864888903	3	DOWN
HTR1D	-21.9959901751146	0.00533552592408136	0.34767725736936	3	DOWN
HNRNPR	-1.89920338096462	0.523527597261451	0.681450866289173	3	DOWN
ZNF436	3.40724322139739	0.451839048934966	0.679982864888903	3	UP
ZNF436-AS1	-0.0274842758067805	0.873209330982926	0.886848815780673	1	DOWN
TCEA3	-40.8627667296345	0.367426083221175	0.679982864888903	3	DOWN
ASAP3	11.4457713146079	0.21183948830676	0.679982864888903	3	UP
E2F2	1.44165103807007	0.216126178843494	0.679982864888903	3	UP
ID3	0.010677655127695	0.69958808985469	0.755916056053185	3	UP
RPL11	-29.9969254676984	0.25893563957587	0.679982864888903	3	DOWN
ELOA-AS1	0.147544987476475	0.364139392838469	0.679982864888903	1	UP
