gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
ABRACL	0.244449929500164	0.0483509397074974	0.599071686349223	9	DOWN
ABRAXAS1	0.0524252158833014	1	1	2	UP
ABRAXAS2	0.186187580335158	1	1	4	UP
ABT1	0.232944942633004	0.000183684404260989	0.0274096539101099	11	UP
ABTB1	0.654339110253182	2.41620225389294e-05	0.0119033964017944	10	UP
ABTB2	-0.0936804659676895	0.251564808311196	1	11	UP
AC000068.10	-0.236720595310709	1	1	1	DOWN
AC000078.1	-0.794139314440461	1	1	1	DOWN
AC000089.1	0.13189238441683	1	1	1	UP
AC000111.3	1.06077974386239	1	1	2	UP
AC000123.1	0.2407807726521	1	1	1	UP
AC000123.2	0.547469871125978	1	1	1	UP
AC000123.3	0.290111920546187	1	1	1	UP
AC000403.1	0.557093272196312	1	1	1	UP
AC002059.10	0.364983706239449	1	1	2	UP
AC002064.5	-0.353711758535485	1	1	2	UP
AC002070.1	-0.326733250363702	1	1	1	DOWN
AC002091.1	0.741035039344959	1	1	1	UP
AC002091.2	1.35782099939366	1	1	1	UP
AC002116.7	-0.1931274237364	1	1	1	DOWN
AC002116.8	0.00153593625629219	1	1	1	UP
AC002128.1	0.96623945118942	1	1	1	UP
AC002310.1	0.205922176336305	1	1	1	UP
AC002310.11	0.159698078682121	1	1	1	UP
AC002310.12	-0.55174682499299	1	1	2	DOWN
AC002310.5	0.556019550061048	1	1	1	UP
AC002310.7	0.615742169880891	1	1	2	UP
AC002350.2	0.376569884706163	1	1	1	UP
AC002398.1	0.115896392305425	1	1	1	UP
AC002398.11	-0.0530633396343869	1	1	1	DOWN
AC002398.9	0.0250400669622211	1	1	1	UP
AC002456.1	0.857504739609561	1	1	1	UP
AC002467.1	0.840697528436206	1	1	1	UP
AC002467.7	0.0777375864187872	1	1	1	UP
AC002472.8	-0.344930095727457	1	1	1	DOWN
AC002480.1	2.05107699280813	0.741009179739771	1	1	UP
AC002480.2	2.04438388761458	1	1	1	UP
AC002480.3	0.545515078388747	1	1	1	UP
AC002480.4	-0.206638154641666	1	1	1	DOWN
AC002511.1	0.0661659941651003	1	1	1	UP
AC002511.2	-0.933255984793207	1	1	1	DOWN
AC002524.1	0.117588332715054	1	1	1	UP
AC002553.1	-0.814691938619957	1	1	1	DOWN
AC002553.2	-0.44773895746403	1	1	1	DOWN
AC002985.3	0.0368507090571166	1	1	1	UP
AC003005.4	0.0962542280456266	1	1	1	UP
AC003072.1	0.391290837608964	1	1	1	UP
AC003092.1	1.13106294798184	1	1	2	UP
AC003102.1	-0.0774973292534204	1	1	1	DOWN
