gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
GCNA	0.0572963214886847	0.847442766283788	0.913092410942963	1	UP
ESPL1	-2.60250215955487	1.79496635822917e-38	8.23462185484754e-37	1	DOWN
PRADC1	-0.786895926458046	0.000392704064840103	0.00178908147572646	1	DOWN
SNX4	0.52674222147143	1.27469471678013e-08	1.17478401480801e-07	1	UP
HNRNPF	-0.498519002515392	1.02073873733838e-15	1.70923470374008e-14	1	DOWN
STK25	0.0486300996076017	0.67069478399354	0.799625366044859	1	UP
BTD	0.266184540292722	0.139367224512569	0.265593533091275	1	UP
CACTIN	-0.0893947301095426	0.57076480351894	0.721241883145523	1	DOWN
SNX29	-0.355776399232614	3.55238030373337e-06	2.38991842501168e-05	1	DOWN
APLP1	0.448661525587586	0.00858624670135358	0.0274330866861067	1	UP
C6orf120	-0.414920959343795	1.80365369157816e-05	0.000107554416506772	1	DOWN
SLC75A1	0.336625915868471	0.0568685796525573	0.131531345159908	1	UP
GLRB	0.174201002957168	0.127022125003855	0.248109654634895	1	UP
MYO9A	0.332262321021804	5.1273220661556e-05	0.000280556346755072	1	UP
EFNB1	-0.552294981374201	6.32283446186526e-05	0.000339417833612239	1	DOWN
VDAC1	-0.257894813773075	0.00107745714420291	0.00442339011104439	1	DOWN
BMPR1B	0.680907158756578	0.114004479400544	0.228902804811806	1	UP
ZBTB9	-0.850092606132973	0.170751329346927	0.31064060325083	1	DOWN
CAPN1	-0.108295723766532	0.0851324710431446	0.182016472709644	1	DOWN
AKAP8	-0.0355257614777076	0.727382523175199	0.838497514550479	1	DOWN
GPATCH8	0.28414934092402	0.0631262344425464	0.143005273803941	1	UP
CEACAM19	0.873509104123889	3.29578143210642e-15	5.36948562292783e-14	1	UP
PNMA6A	0.0824324824046985	0.878625104794434	0.932575203039616	1	UP
RTN3	1.23022943380442	6.17565240885838e-81	9.9160392178236e-79	1	UP
MACROD1	0.00745672837473413	0.980829709553378	0.988766664301072	1	UP
CNDP2	-0.145903353005837	0.498889078373183	0.660145231349773	1	DOWN
PSMC6	-0.0819178328303925	0.337791051723723	0.507785862663391	1	DOWN
TFAM	-0.407927663792346	0.000164152083574895	0.000813777619122061	1	DOWN
SHOC2	0.330607319177081	0.224971253234978	0.380998427340756	1	UP
GINS3	-1.93704306134371	7.07848834216463e-09	6.7787432095839e-08	1	DOWN
TAS2R31	0.214386838616566	0.412500741068667	0.582076770743415	1	UP
LINC00562	0.0949293054494943	0.858672511662803	0.920251888611626	1	UP
SYNE2	-1.36128092662618	6.50442591027401e-56	5.766592566219e-54	1	DOWN
CXCL12	-2.24843798855236	3.59954596450387e-113	1.15593419406768e-110	1	DOWN
RAB11FIP2	0.290951208009351	0.0968810017060255	0.202024149444989	1	UP
ERLIN1	-0.690025890421806	6.94988786380347e-15	1.10123716578754e-13	1	DOWN
MYO18A	-0.215382652866794	0.00697268855856294	0.0227762934809659	1	DOWN
TM9SF2	0.0390890107707946	0.531237970164152	0.687772792227393	1	UP
PPP1R1C	1.06403749103473	0.0428054506579872	0.104507782979992	1	UP
METRN	-0.150440603265153	0.811106981254187	0.889932957718036	1	DOWN
SRP14	0.27069749006672	0.00585773343971011	0.0195677544931232	1	UP
NYNRIN	0.0666722635198489	0.410793920440298	0.58060918491062	1	UP
MVP	0.123498428453386	0.18980028964178	0.336210343909459	1	UP
INPP5J	0.372155902281387	0.357475184342026	0.527938057120758	1	UP
H2BC13	-2.59238794724873	1.28856578704525e-20	2.92324398565006e-19	1	DOWN
FAM151B	0.143318082068211	0.560987910953644	0.712802947619118	1	UP
ATP5ME	0.0650014474635401	0.540686081026653	0.695332789616104	1	UP
SLC49A3	0.225704096355313	0.39121710752652	0.561808448858764	1	UP
LY6K	-1.23133685473249	0.000232623353838899	0.00111608236597806	1	DOWN
IER2	0.335364889607991	0.000216560620209387	0.00104561226951081	1	UP
MTND1P32	0.179444591964727	0.676727141873497	0.803498802663208	1	UP
MEDAG	0.0380440123982269	0.762119733593109	0.859280039802919	1	UP
LYST	0.255170768632138	0.00306652569940853	0.0111314651801439	1	UP
CLN5	0.18768716516378	0.0306332530425957	0.079262513826061	1	UP
TSC22D1	0.00339775798461195	0.979692704746792	0.98796505766196	1	UP
MAPK13	-0.791840754347473	3.75248513771104e-11	4.44120906839167e-10	1	DOWN
PARP4	-0.203190809204501	0.00532508721860725	0.0180583408910692	1	DOWN
PLN	3.2288476463251	1.04539714047358e-26	3.14729876603827e-25	1	UP
DPY19L3	-0.0998024175611009	0.706209603341898	0.823616736170912	1	DOWN
RPA3	-0.971947035881844	1.32219912533854e-06	9.47302903335014e-06	1	DOWN
ARMH1	-0.908404018258825	0.349699702195148	0.519748060929969	1	DOWN
ARF4	0.0445529713857264	0.605585734403136	0.748830242695442	1	UP
NSUN6	-0.154552954996153	0.342744081713963	0.512572759990011	1	DOWN
FAM86DP	-0.877041222161873	2.46389303828216e-07	1.94248326766042e-06	1	DOWN
MDM4	-0.159541007185804	0.623978746272474	0.76340982420519	1	DOWN
SLC7A2	-1.47567941476472	0.00191516005217846	0.00738026077707491	1	DOWN
CACNA1D	-0.499005765391635	0.500588412886732	0.661606288149457	1	DOWN
RANBP17	0.319708170919576	0.0105315036731498	0.0325563048650687	1	UP
INSYN2B	0.355575906310318	0.0167910689876703	0.0483554679037113	1	UP
ALKBH1	0.211954613528489	0.173283220515531	0.313995714065196	1	UP
TEK	-0.518694161973014	0.00129820995058889	0.00523741820099387	1	DOWN
TMEM143	-1.21086002884196	0.00510074081877287	0.017401040031182	1	DOWN
THAP1	0.152152656740553	0.353856326284688	0.523985835755715	1	UP
DLD	-0.0102346639615302	0.888112109379951	0.937249209706443	1	DOWN
VTA1	0.0762680983272509	0.436283523759975	0.605235019857483	1	UP
SNAPC3	0.172688559630519	0.129999408384034	0.252231666293995	1	UP
EXTL1	0.301194272141331	0.00232193289223678	0.0087449184846791	1	UP
TDRKH	-0.20233183902092	0.436521586856424	0.6054640962072	1	DOWN
PAFAH2	-0.420949361255799	0.0104083947755877	0.0322356864342087	1	DOWN
ENDOV	0.470294933716922	0.0154742716170825	0.045066243276594	1	UP
PFN4	1.21266258609804	0.0256715508930447	0.0686617771525799	1	UP
LINC01503	0.356932134797934	0.292116400862303	0.45904459643988	1	UP
HLA-F-AS1	-0.18449784462366	0.538903413900492	0.693673982423968	1	DOWN
REEP5	0.0785698543936469	0.517504930308889	0.677032812272849	1	UP
WIZ	0.0193326249513587	0.880320003143699	0.933301879876089	1	UP
RABGAP1	0.0726754009734504	0.282497912449919	0.447979387692647	1	UP
YPEL3	0.045640136749755	0.836214593622182	0.905789452997088	1	UP
RPAIN	0.190067336188943	0.133033704404768	0.256671570407651	1	UP
SOX15	-0.12607629780349	0.857823930428984	0.919615253607511	1	DOWN
PIMREG	-2.22892632019081	4.0478093697654e-11	4.77119846676018e-10	1	DOWN
PSMD4	-0.211549810402342	0.0165056858001765	0.0476475560324312	1	DOWN
TSHZ3	-0.334748634917616	0.000835611796621183	0.00353392627245324	1	DOWN
